# Domain: isosceles_triangle (analytic ground truth, lambda = m^2 + n^2, m > n >= 1)
n,lambda_n
1,5
2,10
3,13
4,17
5,20
6,25
7,26
8,29
9,34
10,37
11,40
12,41
13,45
14,50
15,52
16,53
17,58
18,61
19,65
20,65
21,68
22,73
23,74
24,80
25,82
26,85
27,85
28,89
29,90
30,97
31,100
32,101
33,104
34,106
35,109
36,113
37,116
38,117
39,122
40,125
41,125
42,130
43,130
44,136
45,137
46,145
47,145
48,146
49,148
50,149
51,153
52,157
53,160
54,164
55,169
56,170
57,170
58,173
59,178
60,180
61,181
62,185
63,185
64,193
65,194
66,197
67,200
68,202
69,205
70,205
71,208
72,212
73,218
74,221
75,221
76,225
77,226
78,229
79,232
80,233
81,234
82,241
83,244
84,245
85,250
86,250
87,257
88,260
89,260
90,261
91,265
92,265
93,269
94,272
95,274
96,277
97,281
98,289
99,290
100,290
101,292
102,293
103,296
104,298
105,305
106,305
107,306
108,313
109,314
110,317
111,320
112,325
113,325
114,325
115,328
116,333
117,337
118,338
119,340
120,340
121,346
122,349
123,353
124,356
125,360
126,362
127,365
128,365
129,369
130,370
131,370
132,373
133,377
134,377
135,386
136,388
137,389
138,394
139,397
140,400
141,401
142,404
143,405
144,409
145,410
146,410
147,416
148,421
149,424
150,425
151,425
152,425
153,433
154,436
155,442
156,442
157,445
158,445
159,449
160,450
161,452
162,457
163,458
164,461
165,464
166,466
167,468
168,477
169,481
170,481
171,482
172,485
173,485
174,488
175,490
176,493
177,493
178,500
179,500
180,505
181,505
182,509
183,514
184,520
185,520
186,521
187,522
188,530
189,530
190,533
191,533
192,538
193,541
194,544
195,545
196,545
197,548
198,549
199,554
200,557
201,562
202,565
203,565
204,569
205,577
206,578
207,580
208,580
209,584
210,585
211,585
212,586
213,592
214,593
215,596
216,601
217,605
218,610
219,610
220,612
221,613
222,617
223,625
224,625
225,626
226,628
227,629
228,629
229,634
230,637
231,640
232,641
233,650
234,650
235,650
236,653
237,656
238,657
239,661
240,666
241,673
242,674
243,676
244,677
245,680
246,680
247,685
248,685
249,689
250,689
251,692
252,697
253,697
254,698
255,701
256,706
257,709
258,712
259,720
260,724
261,725
262,725
263,725
264,730
265,730
266,733
267,738
268,740
269,740
270,745
271,745
272,746
273,754
274,754
275,757
276,761
277,765
278,765
279,769
280,772
281,773
282,776
283,778
284,785
285,785
286,788
287,793
288,793
289,794
290,797
291,800
292,801
293,802
294,808
295,809
296,810
297,818
298,820
299,820
300,821
301,829
302,832
303,833
304,841
305,842
306,845
307,845
308,845
309,848
310,850
311,850
312,850
313,853
314,857
315,865
316,865
317,866
318,872
319,873
320,877
321,881
322,884
323,884
324,890
325,890
326,898
327,900
328,901
329,901
330,904
331,905
332,905
333,909
334,914
335,916
336,922
337,925
338,925
339,925
340,928
341,929
342,932
343,936
344,937
345,941
346,949
347,949
348,953
349,954
350,962
351,962
352,964
353,965
354,965
355,970
356,970
357,976
358,977
359,980
360,981
361,985
362,985
363,986
364,986
365,997
366,1000
367,1000
368,1009
369,1010
370,1010
371,1013
372,1017
373,1018
374,1021
375,1025
376,1025
377,1025
378,1028
379,1033
380,1037
381,1037
382,1040
383,1040
384,1042
385,1044
386,1049
387,1053
388,1060
389,1060
390,1061
391,1066
392,1066
393,1069
394,1073
395,1073
396,1076
397,1082
398,1088
399,1090
400,1090
401,1093
402,1096
403,1097
404,1098
405,1105
406,1105
407,1105
408,1105
409,1108
410,1109
411,1114
412,1117
413,1124
414,1125
415,1125
416,1129
417,1130
418,1130
